name;top1;top2;top3;top4;top5
1400;59;0;47;55;71
1723;13;0;76;51;21
2683;13;0;41;38;74
3351;76;0;13;26;53
3561;13;0;9;101;51
3611;76;0;11;33;51
3642;3;0;46;20;22
3659;23;0;24;50;18
4203;30;0;9;11;41
4421;1;0;46;13;77
4638;18;0;13;74;38
5159;62;0;81;10;70
5327;14;0;85;83;92
5346;41;0;36;46;9
5421;85;0;83;14;92
5569;18;0;38;1;83
5801;81;0;62;70;66
6408;67;0;18;59;50
6861;12;0;89;41;2
7059;51;0;39;11;1
7170;36;0;41;13;38
7289;14;0;92;86;41
7881;48;0;76;3;11
8072;46;0;41;4;59
8455;25;0;13;41;39
912;41;0;98;14;40
9202;5;0;38;100;101
9637;13;0;9;28;11
9876;70;0;81;62;22
